Decimal: -39, Binary: 1111011001, Hex: FFFFFFFFD9
Decimal: -36, Binary: 1111011100, Hex: FFFFFFFFDC
Decimal: 8, Binary: 1000, Hex: 8
Decimal: 34, Binary: 100010, Hex: 22
Decimal: 17, Binary: 10001, Hex: 11
Decimal: 49, Binary: 110001, Hex: 31
Decimal: 5, Binary: 101, Hex: 5
Decimal: 39, Binary: 100111, Hex: 27
Decimal: 0, Binary: 0, Hex: 0
Decimal: 33, Binary: 100001, Hex: 21
Decimal: 12, Binary: 1100, Hex: C
Decimal: -6, Binary: 1111111010, Hex: FFFFFFFFFA
Decimal: 27, Binary: 11011, Hex: 1B
Decimal: -4, Binary: 1111111100, Hex: FFFFFFFFFC
Decimal: -38, Binary: 1111011010, Hex: FFFFFFFFDA
Decimal: 26, Binary: 11010, Hex: 1A
Decimal: 49, Binary: 110001, Hex: 31
Decimal: 29, Binary: 11101, Hex: 1D
Decimal: 42, Binary: 101010, Hex: 2A
Decimal: -16, Binary: 1111110000, Hex: FFFFFFFFF0
Decimal: -28, Binary: 1111100100, Hex: FFFFFFFFE4
Decimal: 34, Binary: 100010, Hex: 22
Decimal: 20, Binary: 10100, Hex: 14
Decimal: 0, Binary: 0, Hex: 0
Decimal: 25, Binary: 11001, Hex: 19
Decimal: 45, Binary: 101101, Hex: 2D
Decimal: 3, Binary: 11, Hex: 3
Decimal: -46, Binary: 1111010010, Hex: FFFFFFFFD2
Decimal: -46, Binary: 1111010010, Hex: FFFFFFFFD2
Decimal: 29, Binary: 11101, Hex: 1D
Decimal: 33, Binary: 100001, Hex: 21
Decimal: 29, Binary: 11101, Hex: 1D
Decimal: 26, Binary: 11010, Hex: 1A
Decimal: -5, Binary: 1111111011, Hex: FFFFFFFFFB
Decimal: -36, Binary: 1111011100, Hex: FFFFFFFFDC
Decimal: 12, Binary: 1100, Hex: C
Decimal: 45, Binary: 101101, Hex: 2D
Decimal: -50, Binary: 1111001110, Hex: FFFFFFFFCE
Decimal: 0, Binary: 0, Hex: 0
Decimal: -6, Binary: 1111111010, Hex: FFFFFFFFFA
Decimal: -39, Binary: 1111011001, Hex: FFFFFFFFD9
Decimal: 35, Binary: 100011, Hex: 23
Decimal: 26, Binary: 11010, Hex: 1A
Decimal: -35, Binary: 1111011101, Hex: FFFFFFFFDD
Decimal: -42, Binary: 1111010110, Hex: FFFFFFFFD6
Decimal: 14, Binary: 1110, Hex: E
Decimal: -3, Binary: 1111111101, Hex: FFFFFFFFFD
Decimal: 22, Binary: 10110, Hex: 16
Decimal: -47, Binary: 1111010001, Hex: FFFFFFFFD1
Decimal: 12, Binary: 1100, Hex: C
Decimal: -17, Binary: 1111101111, Hex: FFFFFFFFEF
Decimal: -31, Binary: 1111100001, Hex: FFFFFFFFE1
Decimal: -25, Binary: 1111100111, Hex: FFFFFFFFE7
Decimal: -35, Binary: 1111011101, Hex: FFFFFFFFDD
Decimal: -18, Binary: 1111101110, Hex: FFFFFFFFEE
Decimal: 14, Binary: 1110, Hex: E
Decimal: 37, Binary: 100101, Hex: 25
Decimal: -8, Binary: 1111111000, Hex: FFFFFFFFF8
Decimal: -41, Binary: 1111010111, Hex: FFFFFFFFD7
Decimal: -50, Binary: 1111001110, Hex: FFFFFFFFCE
Decimal: -9, Binary: 1111110111, Hex: FFFFFFFFF7
Decimal: 2, Binary: 10, Hex: 2
Decimal: 12, Binary: 1100, Hex: C
Decimal: -39, Binary: 1111011001, Hex: FFFFFFFFD9
Decimal: -17, Binary: 1111101111, Hex: FFFFFFFFEF
Decimal: 0, Binary: 0, Hex: 0
